critic/q_loss,critic/q1,z_critic/qz_loss,actor/bc_actor_loss,noise_actor/noise_actor_loss,alpha/alpha_loss,alpha/alpha,step
22.49601936340332,0.08521182835102081,0.3573550581932068,1.7465828657150269,2.9397482872009277,4.236615180969238,0.9997000694274902,0
0.9074484705924988,-65.2260513305664,0.7448272705078125,0.2235715687274933,64.06126403808594,0.04120160639286041,0.012940448708832264,20000
1.180673599243164,-120.60960388183594,0.8465714454650879,0.20071780681610107,120.64143371582031,0.006264180410653353,0.027572011575102806,40000
7.162824630737305,-117.86622619628906,3.012293577194214,0.2265380471944809,119.21112060546875,-0.03616054356098175,0.054068487137556076,60000
4.428590774536133,-75.41282653808594,2.434140682220459,0.17497698962688446,76.36351013183594,-0.014116154983639717,0.08102497458457947,80000
6.963088035583496,-71.81949615478516,2.1551170349121094,0.22993521392345428,72.74241638183594,0.004259415902197361,0.07336926460266113,100000
3.9302430152893066,-82.06607818603516,2.1534948348999023,0.20797820389270782,81.9984359741211,-0.00673383753746748,0.05156294256448746,120000
5.593071937561035,-74.76225280761719,2.4035613536834717,0.22295109927654266,75.3480224609375,0.010969290509819984,0.06724583357572556,140000
3.4853591918945312,-68.42244720458984,2.093904733657837,0.24568605422973633,68.37311553955078,0.007874315604567528,0.06550461798906326,160000
2.9814023971557617,-74.50914764404297,1.2620487213134766,0.18116676807403564,74.35248565673828,-0.018536577001214027,0.05974922329187393,180000
3.689305067062378,-74.07493591308594,1.0217845439910889,0.23809368908405304,74.379150390625,-0.01611306704580784,0.051977332681417465,200000
1.9131033420562744,-72.42109680175781,1.1512579917907715,0.1949995905160904,72.34324645996094,-0.0004669036716222763,0.05159609764814377,220000
4.136160373687744,-66.4439697265625,2.2077126502990723,0.17966057360172272,66.97242736816406,0.012073423713445663,0.07625885307788849,240000
4.302216529846191,-80.30226135253906,1.3489990234375,0.22351491451263428,79.90403747558594,0.009399081580340862,0.05461537092924118,260000
2.857536792755127,-77.15313720703125,1.291913390159607,0.20691199600696564,76.7746353149414,-0.009523546323180199,0.05261775478720665,280000
2.775386333465576,-74.03995513916016,1.360755205154419,0.2601690888404846,73.87750244140625,-0.002904859371483326,0.051714081317186356,300000
2.874101161956787,-80.07765197753906,1.139512062072754,0.21831761300563812,79.8106918334961,-0.033307403326034546,0.05255758762359619,320000
3.0845327377319336,-79.24900817871094,0.9989656209945679,0.24475030601024628,79.28898620605469,-0.04205918312072754,0.06365863978862762,340000
2.4287285804748535,-82.11698150634766,1.0066266059875488,0.19367516040802002,82.16329956054688,0.016489531844854355,0.06141360104084015,360000
1.8276326656341553,-82.99562072753906,0.827852189540863,0.14290237426757812,83.12542724609375,-0.01744842901825905,0.05667264759540558,380000
2.1997270584106445,-84.70396423339844,1.276987910270691,0.17694006860256195,84.82417297363281,0.015922442078590393,0.0531960129737854,400000
3.0685057640075684,-83.51072692871094,1.4109206199645996,0.2133331596851349,84.1531982421875,-0.026984235271811485,0.058679353445768356,420000
1.976547122001648,-83.69688415527344,1.3918769359588623,0.19724449515342712,83.81661987304688,-0.01398270670324564,0.045965638011693954,440000
3.588531732559204,-85.30339813232422,1.667297601699829,0.1835225522518158,85.95939636230469,0.0036223512142896652,0.0615013986825943,460000
4.246711730957031,-87.44766998291016,1.365261435508728,0.18150866031646729,88.04047393798828,0.003602977842092514,0.06767698377370834,480000
2.0512969493865967,-98.26573181152344,1.2761192321777344,0.20833706855773926,98.63334655761719,0.03864476829767227,0.047276660799980164,500000
,,,,,,,500499
,,,,,,,500999
,,,,,,,501499
,,,,,,,501999
,,,,,,,502499
,,,,,,,502999
,,,,,,,503499
,,,,,,,503999
,,,,,,,504499
,,,,,,,504999
,,,,,,,505499
,,,,,,,505999
,,,,,,,506499
,,,,,,,506999
,,,,,,,507499
,,,,,,,507555
,,,,,,,508055
,,,,,,,508110
,,,,,,,508610
,,,,,,,509110
,,,,,,,509164
,,,,,,,509664
,,,,,,,510164
,,,,,,,510664
,,,,,,,510825
,,,,,,,511325
,,,,,,,511825
,,,,,,,512325
,,,,,,,512825
,,,,,,,513325
,,,,,,,513825
,,,,,,,514325
,,,,,,,514825
,,,,,,,515325
,,,,,,,515379
,,,,,,,515425
,,,,,,,515925
,,,,,,,516425
,,,,,,,516482
,,,,,,,516982
,,,,,,,517032
,,,,,,,517532
,,,,,,,518032
,,,,,,,518083
,,,,,,,518583
,,,,,,,519083
,,,,,,,519583
,,,,,,,520083
,,,,,,,520177
,,,,,,,520677
,,,,,,,521177
,,,,,,,521677
,,,,,,,522177
,,,,,,,522677
,,,,,,,523177
,,,,,,,523677
,,,,,,,524177
,,,,,,,524677
,,,,,,,525177
,,,,,,,525677
,,,,,,,526177
,,,,,,,526677
,,,,,,,527177
,,,,,,,527677
,,,,,,,528177
,,,,,,,528677
,,,,,,,528760
,,,,,,,529260
,,,,,,,529760
,,,,,,,530260
,,,,,,,530760
,,,,,,,531260
,,,,,,,531760
,,,,,,,532260
,,,,,,,532760
,,,,,,,533260
,,,,,,,533760
,,,,,,,534260
,,,,,,,534760
,,,,,,,535260
,,,,,,,535760
,,,,,,,536260
,,,,,,,536760
,,,,,,,537260
,,,,,,,537760
,,,,,,,538260
,,,,,,,538760
,,,,,,,539260
,,,,,,,539760
,,,,,,,540260
,,,,,,,540760
,,,,,,,541260
,,,,,,,541760
,,,,,,,542260
,,,,,,,542760
,,,,,,,543260
,,,,,,,543307
,,,,,,,543807
,,,,,,,544307
,,,,,,,544807
,,,,,,,545307
,,,,,,,545370
,,,,,,,545870
,,,,,,,546370
,,,,,,,546870
,,,,,,,547073
,,,,,,,547573
,,,,,,,548073
,,,,,,,548573
,,,,,,,549073
,,,,,,,549573
,,,,,,,550073
,,,,,,,550573
,,,,,,,551073
,,,,,,,551573
,,,,,,,552073
,,,,,,,552573
,,,,,,,553073
,,,,,,,553573
,,,,,,,554073
,,,,,,,554573
,,,,,,,555073
,,,,,,,555573
,,,,,,,556073
,,,,,,,556573
,,,,,,,557073
,,,,,,,557573
,,,,,,,558073
,,,,,,,558573
,,,,,,,559073
,,,,,,,559573
,,,,,,,560073
,,,,,,,560573
,,,,,,,561073
,,,,,,,561573
,,,,,,,562073
,,,,,,,562573
,,,,,,,563073
,,,,,,,563573
,,,,,,,564073
,,,,,,,564573
,,,,,,,565073
,,,,,,,565573
,,,,,,,566073
,,,,,,,566573
,,,,,,,567073
,,,,,,,567573
,,,,,,,568073
,,,,,,,568573
,,,,,,,569073
,,,,,,,569573
,,,,,,,570073
,,,,,,,570573
,,,,,,,571073
,,,,,,,571573
,,,,,,,572073
,,,,,,,572573
,,,,,,,573073
,,,,,,,573573
,,,,,,,574073
,,,,,,,574573
,,,,,,,575073
,,,,,,,575573
,,,,,,,576073
,,,,,,,576573
,,,,,,,577073
,,,,,,,577573
,,,,,,,578073
,,,,,,,578573
,,,,,,,579073
,,,,,,,579573
,,,,,,,580073
,,,,,,,580573
,,,,,,,581073
,,,,,,,581573
,,,,,,,582073
,,,,,,,582573
,,,,,,,583073
,,,,,,,583573
,,,,,,,584073
,,,,,,,584573
,,,,,,,585073
,,,,,,,585573
,,,,,,,586073
,,,,,,,586573
,,,,,,,587073
,,,,,,,587573
,,,,,,,588073
,,,,,,,588573
,,,,,,,589073
,,,,,,,589573
,,,,,,,590073
,,,,,,,590573
,,,,,,,591073
,,,,,,,591573
,,,,,,,592073
,,,,,,,592573
,,,,,,,593073
,,,,,,,593573
,,,,,,,594073
,,,,,,,594573
,,,,,,,595073
,,,,,,,595573
,,,,,,,596073
,,,,,,,596573
,,,,,,,597073
,,,,,,,597573
,,,,,,,598073
,,,,,,,598573
,,,,,,,599073
,,,,,,,599573
