critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,critic/target_q_mean,actor/loss,actor/qsm_loss,actor/bc_loss,actor/grad_q_norm,actor/eps_norm,step
1.4183679819107056,-0.17093989253044128,0.49818873405456543,-0.8668351769447327,-1.3335219621658325,125.83677673339844,9.042972564697266,1.1679381132125854,0.06556009501218796,0.9644440412521362,0
0.6669293642044067,-66.83480834960938,2.6792550086975098,-68.5284652709961,-66.79861450195312,1095.9033203125,1079.6085205078125,0.16294747591018677,0.14587637782096863,2.4470162391662598,20000
2.9489989280700684,-72.19145965576172,1.322282314300537,-92.84725952148438,-72.04718017578125,1431.1707763671875,1402.849365234375,0.28321442008018494,0.7417817115783691,2.611771583557129,40000
0.9632706642150879,-73.01232147216797,-1.000594139099121,-99.76325988769531,-72.91387939453125,849.1985473632812,826.53271484375,0.2266584038734436,0.6623578667640686,2.5597245693206787,60000
0.5900324583053589,-77.20454406738281,-22.091384887695312,-101.72075653076172,-76.91714477539062,768.3056030273438,745.5982055664062,0.22707390785217285,0.6410104036331177,2.5564663410186768,80000
0.8020724058151245,-76.5665054321289,-5.493402481079102,-102.02959442138672,-76.4471435546875,1532.095703125,1510.2138671875,0.2188178300857544,0.7387769222259521,2.615605354309082,100000
0.8334991335868835,-76.7705307006836,0.7044042944908142,-102.81726837158203,-76.85311889648438,828.3908081054688,809.1015625,0.19289250671863556,0.6893121004104614,2.518928289413452,120000
0.6838465929031372,-77.08869934082031,3.596262216567993,-102.92632293701172,-77.06877136230469,774.7244262695312,754.641357421875,0.20083066821098328,0.6464565396308899,2.6627588272094727,140000
0.8597760796546936,-79.31544494628906,0.27903497219085693,-102.58305358886719,-79.32211303710938,943.1181030273438,924.5859375,0.18532192707061768,0.6772394180297852,2.6088223457336426,160000
0.6032471060752869,-80.73614501953125,-29.83049964904785,-103.20903778076172,-80.69338989257812,797.300048828125,778.3890380859375,0.18911007046699524,0.6463375687599182,2.574125289916992,180000
0.8449143767356873,-81.76054382324219,0.35970792174339294,-103.26750183105469,-81.73355102539062,766.6245727539062,746.6045532226562,0.20020031929016113,0.622678279876709,2.594179630279541,200000
0.8435841798782349,-82.33602905273438,-28.280887603759766,-103.93330383300781,-82.43736267089844,743.7749633789062,725.1563720703125,0.18618562817573547,0.6108485460281372,2.6362104415893555,220000
0.6140651106834412,-83.10769653320312,0.6083645224571228,-103.76344299316406,-83.2552719116211,799.6710205078125,783.679931640625,0.15991084277629852,0.6251115202903748,2.6361606121063232,240000
0.617949903011322,-83.70817565917969,0.05695158243179321,-104.01534271240234,-83.7039794921875,733.0496826171875,715.6574096679688,0.17392277717590332,0.591336727142334,2.6894164085388184,260000
0.6378916501998901,-85.06560516357422,-0.2525266408920288,-104.43985748291016,-84.89910125732422,1021.2639770507812,1003.15087890625,0.18113082647323608,0.6571234464645386,2.6598806381225586,280000
1.3399527072906494,-87.4041748046875,-11.091484069824219,-104.61854553222656,-87.49805450439453,767.4450073242188,750.9410400390625,0.1650395542383194,0.5557440519332886,2.603829860687256,300000
0.7863832116127014,-84.64844512939453,0.801302969455719,-104.9603042602539,-84.56035614013672,1047.5753173828125,1030.6005859375,0.1697477549314499,0.6376253366470337,2.669978380203247,320000
1.02277410030365,-88.61723327636719,-0.3794804811477661,-105.39027404785156,-88.7188949584961,1230.962890625,1211.22998046875,0.1973290890455246,0.653791606426239,2.740044593811035,340000
0.9107229113578796,-87.51652526855469,-41.15367889404297,-107.3323974609375,-87.40510559082031,866.237548828125,847.152099609375,0.19085466861724854,0.6353752017021179,2.6469249725341797,360000
0.6482397317886353,-88.15049743652344,-0.4392017722129822,-105.89205169677734,-88.21601867675781,765.1592407226562,747.322509765625,0.1783672571182251,0.5810957551002502,2.611204147338867,380000
0.7714627981185913,-87.81594848632812,0.9424716234207153,-106.4073486328125,-87.76943969726562,1215.593505859375,1197.66357421875,0.17929893732070923,0.6111748218536377,2.663236379623413,400000
0.7204508185386658,-89.99361419677734,0.12878164649009705,-106.31077575683594,-89.96195220947266,1028.359619140625,1008.4928588867188,0.19866757094860077,0.5929279327392578,2.7168774604797363,420000
0.7405581474304199,-90.73973083496094,-29.416006088256836,-106.509033203125,-90.8535385131836,671.2518310546875,655.2482299804688,0.16003626585006714,0.5421353578567505,2.6810131072998047,440000
0.4496120512485504,-91.21897888183594,0.47670257091522217,-106.16681671142578,-91.14033508300781,918.0459594726562,904.239990234375,0.13805945217609406,0.4854876399040222,2.600487232208252,460000
0.4223007559776306,-93.81471252441406,-0.29511183500289917,-108.37735748291016,-93.87544250488281,862.4253540039062,847.9951171875,0.1443021148443222,0.47109758853912354,2.5701632499694824,480000
0.9357545971870422,-92.80836486816406,-2.524259328842163,-109.84159088134766,-92.74388122558594,1613.967529296875,1592.93212890625,0.21035359799861908,0.6159098148345947,2.646113872528076,500000
,,,,,,,,,,500999
,,,,,,,,,,501999
,,,,,,,,,,502794
,,,,,,,,,,503794
,,,,,,,,,,504665
,,,,,,,,,,504979
,,,,,,,,,,505900
,,,,,,,,,,506254
,,,,,,,,,,507254
,,,,,,,,,,507797
,,,,,,,,,,508267
,,,,,,,,,,509267
,,,,,,,,,,510267
,,,,,,,,,,511267
,,,,,,,,,,512267
,,,,,,,,,,513267
,,,,,,,,,,514267
,,,,,,,,,,515267
,,,,,,,,,,516267
,,,,,,,,,,517267
,,,,,,,,,,518267
,,,,,,,,,,519267
,,,,,,,,,,520267
,,,,,,,,,,521267
,,,,,,,,,,521588
,,,,,,,,,,522055
,,,,,,,,,,523055
,,,,,,,,,,524055
,,,,,,,,,,525055
,,,,,,,,,,526055
,,,,,,,,,,527055
,,,,,,,,,,528055
,,,,,,,,,,529055
,,,,,,,,,,530055
,,,,,,,,,,531055
,,,,,,,,,,532055
,,,,,,,,,,533055
,,,,,,,,,,534055
,,,,,,,,,,535055
,,,,,,,,,,535485
,,,,,,,,,,536485
