critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
1.1672332286834717,-0.12334075570106506,1.14454984664917,-1.0605379343032837,1.5551016330718994,74.18138122558594,71.0908432006836,3.090542793273926,1.5990078449249268,0
2.28688645362854,-65.78949737548828,3.893901824951172,-67.32306671142578,0.5170936584472656,69.56221008300781,3.7623915672302246,65.79981994628906,0.271611750125885,20000
7.521921634674072,-88.48417663574219,-0.08601228892803192,-90.76933288574219,0.5468140840530396,92.2933349609375,3.8719615936279297,88.42137145996094,0.2595843970775604,40000
3.518165349960327,-97.11930847167969,-1.2863537073135376,-99.2392349243164,0.5025879144668579,100.97749328613281,3.873569965362549,97.10391998291016,0.22186020016670227,60000
0.15860630571842194,-101.60394287109375,-81.37564849853516,-102.34132385253906,0.443952351808548,104.8769760131836,3.266000747680664,101.61097717285156,0.21133440732955933,80000
2.630089282989502,-101.74745178222656,-11.951736450195312,-103.16793823242188,0.43958210945129395,104.45287322998047,2.721670150756836,101.731201171875,0.1775207221508026,100000
0.7643029689788818,-100.67675018310547,2.292121171951294,-102.75125122070312,0.46299615502357483,103.69515991210938,2.99415922164917,100.70100402832031,0.19256871938705444,120000
2.2304210662841797,-100.01777648925781,-2.666677951812744,-102.13024139404297,0.4580842852592468,102.8082275390625,2.7293291091918945,100.07889556884766,0.1903005689382553,140000
0.8892372250556946,-100.7916259765625,0.0681668221950531,-101.9047622680664,0.42240339517593384,103.6290512084961,2.8324968814849854,100.79655456542969,0.18196192383766174,160000
0.21296581625938416,-100.80760192871094,-81.709228515625,-101.46253204345703,0.4616972804069519,103.57335662841797,2.778190851211548,100.795166015625,0.1932932436466217,180000
0.031687259674072266,-99.97988891601562,0.30960750579833984,-101.21990966796875,0.44810134172439575,103.07372283935547,3.088526487350464,99.98519897460938,0.20735689997673035,200000
0.043497320264577866,-100.6579818725586,-93.89041900634766,-101.10040283203125,0.4521648585796356,103.12810516357422,2.502027988433838,100.6260757446289,0.17794185876846313,220000
2.3711071014404297,-99.46668243408203,1.1895898580551147,-100.87345886230469,0.4154588282108307,102.33340454101562,2.777726650238037,99.55567932128906,0.1901310384273529,240000
0.2988954782485962,-99.1473159790039,0.3094295561313629,-100.7098159790039,0.4182896614074707,101.63957214355469,2.4884605407714844,99.15110778808594,0.18468612432479858,260000
0.6043134331703186,-99.30957794189453,-0.014034420251846313,-100.72901153564453,0.44599246978759766,102.33014678955078,2.9693663120269775,99.36077880859375,0.17330583930015564,280000
0.44751274585723877,-100.14286804199219,-76.71493530273438,-100.65695190429688,0.410902738571167,102.98136901855469,2.852184534072876,100.12918090820312,0.17110800743103027,300000
0.6714795827865601,-97.59828186035156,2.4576921463012695,-100.36895751953125,0.44425278902053833,100.4111328125,2.8441855907440186,97.56694793701172,0.16960002481937408,320000
0.10215530544519424,-99.49916076660156,-0.12234288454055786,-100.47825622558594,0.43174177408218384,101.78250885009766,2.3060216903686523,99.47648620605469,0.16506589949131012,340000
0.05875951796770096,-99.64198303222656,-19.131980895996094,-100.45903015136719,0.4148615598678589,102.11515045166016,2.4792087078094482,99.63594055175781,0.1504443734884262,360000
0.3389531672000885,-99.16395568847656,-0.3477139472961426,-100.54415893554688,0.40832090377807617,101.8774642944336,2.6976122856140137,99.17985534667969,0.16291338205337524,380000
0.15341240167617798,-98.67395782470703,0.3404347002506256,-100.35820770263672,0.40698641538619995,101.52088165283203,2.8618414402008057,98.65904235839844,0.15936550498008728,400000
0.32896652817726135,-98.97101593017578,0.2266617715358734,-100.31560516357422,0.42181044816970825,101.68778228759766,2.734374523162842,98.95340728759766,0.16539235413074493,420000
0.39625364542007446,-99.79193115234375,-88.86698150634766,-100.28903198242188,0.38447022438049316,102.34268951416016,2.5739240646362305,99.76876831054688,0.16846150159835815,440000
0.12337537109851837,-97.6327896118164,1.2300008535385132,-100.23912811279297,0.37218570709228516,100.41551971435547,2.7534844875335693,97.66203308105469,0.14934390783309937,460000
0.16289830207824707,-98.41433715820312,-0.7026015520095825,-100.22809600830078,0.42007070779800415,101.297119140625,2.883913040161133,98.4132080078125,0.17016923427581787,480000
10.757988929748535,-98.33561706542969,-5.035935401916504,-100.16271209716797,0.39039820432662964,101.02072143554688,2.5385403633117676,98.482177734375,0.1544148027896881,500000
,,,,,,,,,500999
,,,,,,,,,501999
,,,,,,,,,502999
,,,,,,,,,503999
,,,,,,,,,504999
,,,,,,,,,505999
,,,,,,,,,506749
,,,,,,,,,507512
,,,,,,,,,508512
,,,,,,,,,509512
,,,,,,,,,510512
,,,,,,,,,511512
,,,,,,,,,512512
,,,,,,,,,513512
,,,,,,,,,514512
,,,,,,,,,515512
,,,,,,,,,516512
,,,,,,,,,517512
,,,,,,,,,518512
,,,,,,,,,519512
,,,,,,,,,520512
,,,,,,,,,521512
,,,,,,,,,522512
,,,,,,,,,523512
,,,,,,,,,524512
,,,,,,,,,525512
,,,,,,,,,526512
,,,,,,,,,527512
,,,,,,,,,528512
,,,,,,,,,529512
,,,,,,,,,530512
,,,,,,,,,531512
,,,,,,,,,532512
,,,,,,,,,533512
,,,,,,,,,534512
,,,,,,,,,535512
,,,,,,,,,536512
,,,,,,,,,537512
,,,,,,,,,538512
,,,,,,,,,539512
,,,,,,,,,540512
,,,,,,,,,541512
,,,,,,,,,542512
,,,,,,,,,542929
,,,,,,,,,543929
,,,,,,,,,544929
,,,,,,,,,545929
,,,,,,,,,546929
,,,,,,,,,547929
,,,,,,,,,548929
