critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
1.1672332286834717,-0.12334075570106506,1.14454984664917,-1.0605379343032837,1.5551016330718994,24.417795181274414,21.327251434326172,3.090542793273926,1.5990078449249268,0
1.5718568563461304,-65.61994934082031,3.780256748199463,-67.24475860595703,0.5170935392379761,66.76683044433594,1.1291017532348633,65.63772583007812,0.2714836597442627,20000
2.7629761695861816,-87.8414306640625,1.7638561725616455,-90.54085540771484,0.5468140840530396,89.02194213867188,1.1754335165023804,87.84651184082031,0.25844812393188477,40000
6.32688570022583,-95.82388305664062,-1.0961620807647705,-99.18061065673828,0.5025880932807922,96.9570083618164,1.1618281602859497,95.79518127441406,0.22290156781673431,60000
0.2670873701572418,-99.53131103515625,-66.70391845703125,-102.07524871826172,0.44395264983177185,100.52281188964844,0.9931825399398804,99.52963256835938,0.21158432960510254,80000
2.7145164012908936,-99.51351928710938,-11.785014152526855,-102.6136703491211,0.44202011823654175,100.2812728881836,0.8575804233551025,99.42369079589844,0.1938617080450058,100000
0.5011428594589233,-98.45262145996094,2.1273884773254395,-102.44563293457031,0.4402047395706177,99.34349822998047,0.9056322574615479,98.4378662109375,0.19707843661308289,120000
0.7512972354888916,-98.3599853515625,-2.291383981704712,-101.98329162597656,0.4195311367511749,99.42178344726562,1.0521427392959595,98.36964416503906,0.21364107728004456,140000
1.0226035118103027,-98.72195434570312,-0.14079222083091736,-101.73424530029297,0.43097373843193054,99.54544830322266,0.8020951747894287,98.74335479736328,0.183126300573349,160000
0.8977933526039124,-99.35951232910156,-73.54592895507812,-101.50910186767578,0.4480138421058655,100.26441955566406,0.927791953086853,99.33662414550781,0.2048417627811432,180000
0.11458774656057358,-98.91938018798828,0.7472755312919617,-101.20669555664062,0.4284047484397888,99.85588073730469,0.931543231010437,98.9243392944336,0.2029820829629898,200000
0.6522133350372314,-99.49754333496094,-68.30696105957031,-101.07199096679688,0.443827360868454,100.36494445800781,0.9045526385307312,99.46038818359375,0.17558631300926208,220000
0.7643544673919678,-98.53286743164062,1.2451117038726807,-100.86981201171875,0.467607319355011,99.4286117553711,0.8499146699905396,98.57869720458984,0.16584829986095428,240000
1.203779935836792,-98.19535827636719,-0.6046504974365234,-100.7368392944336,0.4617461562156677,99.16810607910156,0.959865927696228,98.20823669433594,0.1886364370584488,260000
0.6319944262504578,-98.4823226928711,-0.005658328533172607,-100.82186889648438,0.4292774200439453,99.32550048828125,0.8555523753166199,98.4699478149414,0.1690446436405182,280000
0.8003332614898682,-99.12049102783203,-44.19546890258789,-100.66645812988281,0.43843406438827515,99.9698257446289,0.8530506491661072,99.11677551269531,0.16472817957401276,300000
0.6804504990577698,-96.34227752685547,1.2040061950683594,-100.5440902709961,0.4654272794723511,97.16510009765625,0.7989633679389954,96.36613464355469,0.17560654878616333,320000
0.19307968020439148,-98.52545166015625,0.6865733861923218,-100.73877716064453,0.4234887361526489,99.21603393554688,0.7171331644058228,98.4989013671875,0.1583397388458252,340000
0.11525882035493851,-99.08074951171875,-11.196516990661621,-100.55268859863281,0.3765142261981964,99.87399291992188,0.7827951312065125,99.09119415283203,0.15502744913101196,360000
0.15533104538917542,-98.43408203125,0.07899278402328491,-100.48756408691406,0.4298330545425415,99.34632873535156,0.8662607073783875,98.48006439208984,0.16599220037460327,380000
0.2752567529678345,-97.6072769165039,1.078795075416565,-100.2616958618164,0.39180997014045715,98.46102142333984,0.8511404991149902,97.60987854003906,0.16664984822273254,400000
0.4086788594722748,-98.36178588867188,-0.3296872675418854,-100.2968978881836,0.4292586147785187,99.28350067138672,0.9510252475738525,98.33247375488281,0.17227332293987274,420000
0.3152216970920563,-99.01907348632812,-53.87054443359375,-100.27424621582031,0.4541887044906616,99.7115707397461,0.7307822704315186,98.98078918457031,0.16773688793182373,440000
1.9553836584091187,-97.09208679199219,0.644536018371582,-100.23308563232422,0.42505329847335815,97.80191040039062,0.7468090057373047,97.05509948730469,0.1452123522758484,460000
1.101676106452942,-97.98808288574219,0.4175499677658081,-100.21678161621094,0.39767906069755554,98.81147003173828,0.8979044556617737,97.91356658935547,0.16608503460884094,480000
1.2320395708084106,-97.2300033569336,-4.344882011413574,-100.28524780273438,0.41781866550445557,98.00560760498047,0.715888261795044,97.28971862792969,0.15466442704200745,500000
,,,,,,,,,500999
,,,,,,,,,501999
,,,,,,,,,502739
,,,,,,,,,503739
,,,,,,,,,504739
,,,,,,,,,505739
,,,,,,,,,506739
,,,,,,,,,507739
,,,,,,,,,508739
,,,,,,,,,509739
,,,,,,,,,510739
,,,,,,,,,511739
,,,,,,,,,512739
,,,,,,,,,513739
,,,,,,,,,514739
,,,,,,,,,515739
,,,,,,,,,516739
,,,,,,,,,517739
,,,,,,,,,518739
,,,,,,,,,519739
,,,,,,,,,520739
,,,,,,,,,521739
,,,,,,,,,522378
,,,,,,,,,523378
,,,,,,,,,524378
,,,,,,,,,525378
,,,,,,,,,526378
,,,,,,,,,527378
,,,,,,,,,528378
,,,,,,,,,529378
,,,,,,,,,530378
,,,,,,,,,531378
,,,,,,,,,532378
,,,,,,,,,533378
,,,,,,,,,534378
,,,,,,,,,535378
,,,,,,,,,536378
,,,,,,,,,537378
,,,,,,,,,538378
,,,,,,,,,539378
,,,,,,,,,540378
,,,,,,,,,541378
,,,,,,,,,542378
,,,,,,,,,543378
,,,,,,,,,544378
,,,,,,,,,545378
,,,,,,,,,546378
,,,,,,,,,547378
,,,,,,,,,548378
,,,,,,,,,549378
,,,,,,,,,550378
,,,,,,,,,551378
,,,,,,,,,552378
,,,,,,,,,553378
,,,,,,,,,554378
,,,,,,,,,555378
,,,,,,,,,556378
,,,,,,,,,557378
,,,,,,,,,558378
,,,,,,,,,559378
,,,,,,,,,560378
,,,,,,,,,561378
,,,,,,,,,562378
,,,,,,,,,563378
,,,,,,,,,564378
,,,,,,,,,565378
,,,,,,,,,566378
,,,,,,,,,567378
,,,,,,,,,568378
,,,,,,,,,569378
,,,,,,,,,570378
,,,,,,,,,571378
,,,,,,,,,572378
,,,,,,,,,573378
,,,,,,,,,574378
,,,,,,,,,574712
,,,,,,,,,575712
,,,,,,,,,576712
,,,,,,,,,577712
,,,,,,,,,578712
,,,,,,,,,579712
,,,,,,,,,580712
,,,,,,,,,581712
,,,,,,,,,582712
,,,,,,,,,583712
,,,,,,,,,584712
,,,,,,,,,585712
,,,,,,,,,586712
,,,,,,,,,587712
,,,,,,,,,588712
,,,,,,,,,589712
,,,,,,,,,590712
,,,,,,,,,591712
,,,,,,,,,592712
,,,,,,,,,593712
,,,,,,,,,594712
,,,,,,,,,595712
,,,,,,,,,596712
,,,,,,,,,597712
,,,,,,,,,598712
,,,,,,,,,599712
