critic/q_loss,critic/q1,z_critic/qz_loss,actor/bc_actor_loss,noise_actor/noise_actor_loss,alpha/alpha_loss,alpha/alpha,step
22.520780563354492,0.08521182835102081,0.35791587829589844,1.292425513267517,2.9896974563598633,4.236615180969238,0.9997000694274902,0
0.6990491151809692,-63.475128173828125,0.5551861524581909,0.18590521812438965,62.62287139892578,0.0743391215801239,0.01832071878015995,20000
7.433255195617676,-101.59207153320312,3.980095863342285,0.169968843460083,102.05551147460938,-0.007125061005353928,0.0414295494556427,40000
8.757742881774902,-70.07810974121094,2.659215211868286,0.19604288041591644,70.90104675292969,0.05253692343831062,0.09066280722618103,60000
4.025546550750732,-74.19613647460938,2.9813735485076904,0.15014688670635223,74.5665283203125,-0.06389425694942474,0.06259248405694962,80000
4.794102668762207,-60.70008850097656,2.2570059299468994,0.18936540186405182,61.0636100769043,0.00858707819133997,0.06150767579674721,100000
5.185652732849121,-72.8593978881836,2.466057777404785,0.174208864569664,72.71827697753906,0.030671728774905205,0.06162644177675247,120000
3.869724988937378,-65.52284240722656,1.8725101947784424,0.1821540892124176,65.82318115234375,-0.02512742392718792,0.059002939611673355,140000
2.7795917987823486,-66.67274475097656,0.9333937168121338,0.1974611133337021,66.39947509765625,0.015644660219550133,0.0512244738638401,160000
4.724418640136719,-62.66426467895508,2.4075512886047363,0.15592610836029053,63.27899169921875,-0.004638809710741043,0.08825480192899704,180000
2.298581123352051,-56.65684509277344,1.596948266029358,0.1916736513376236,56.07243728637695,-0.03369739279150963,0.04277472198009491,200000
2.613431453704834,-71.961669921875,1.730675458908081,0.16055531799793243,72.21601867675781,-0.031032083556056023,0.06612154096364975,220000
1.7887258529663086,-74.6570053100586,0.9147827625274658,0.15124399960041046,74.86811065673828,0.002553799655288458,0.053640466183423996,240000
2.359097480773926,-75.91716003417969,1.0325777530670166,0.17925699055194855,76.00438690185547,0.09556236118078232,0.06696601212024689,260000
3.109635829925537,-79.918212890625,1.0542337894439697,0.17303496599197388,79.38211822509766,0.03347887098789215,0.05512046813964844,280000
3.103290557861328,-73.137451171875,1.1262646913528442,0.21562786400318146,73.15644073486328,0.0013040113262832165,0.06027805805206299,300000
1.7889087200164795,-75.04426574707031,1.3865333795547485,0.17606139183044434,74.83263397216797,0.001710167620331049,0.0610407218337059,320000
