value/value_loss,value/v_mean,value/adv_mean,value/adv_max,value/adv_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,critic/target_q_mean,actor/loss,step
0.04981108009815216,0.19281134009361267,-0.12090124189853668,0.9696886539459229,-1.099412441253662,0.34077388048171997,0.3573867082595825,1.2784643173217773,-0.6806302666664124,0.5629557371139526,1.3309659957885742,0
0.26165151596069336,-86.11088562011719,-1.125152826309204,1.8020095825195312,-11.811111450195312,2.1451971530914307,-86.79351043701172,-30.07645606994629,-115.29048156738281,-87.223388671875,0.1846592277288437,20000
0.3510303795337677,-74.72311401367188,-1.5384464263916016,2.8972854614257812,-9.619476318359375,3.4786295890808105,-76.64524841308594,-19.908864974975586,-112.40741729736328,-75.73788452148438,0.1858626902103424,40000
0.3733598589897156,-68.46656799316406,-1.6312588453292847,2.617115020751953,-10.333236694335938,1.627617597579956,-70.02186584472656,-18.72188377380371,-95.32440948486328,-69.69392395019531,0.15137305855751038,60000
0.47618675231933594,-65.78713989257812,-1.2968692779541016,4.3561553955078125,-17.990524291992188,1.5049772262573242,-67.15387725830078,-10.814072608947754,-100.23880767822266,-66.93138122558594,0.156272754073143,80000
0.2961265742778778,-66.5223617553711,-1.2643239498138428,3.5174179077148438,-11.708511352539062,1.1945496797561646,-67.93992614746094,1.3997993469238281,-96.85919189453125,-67.69438171386719,0.17145228385925293,100000
0.41009581089019775,-64.18212127685547,-1.3566553592681885,3.0578689575195312,-9.988731384277344,1.4938246011734009,-65.7370834350586,-11.898798942565918,-96.47921752929688,-65.70043182373047,0.1716758906841278,120000
0.4167537987232208,-66.12091064453125,-1.418276309967041,1.1167316436767578,-23.31524658203125,1.4291305541992188,-67.84625244140625,-4.228789806365967,-96.61495208740234,-67.32936096191406,0.20028114318847656,140000
0.6822218298912048,-64.30020141601562,-1.9942141771316528,3.3415184020996094,-22.049278259277344,2.26320219039917,-65.84941101074219,-14.134830474853516,-97.5634536743164,-65.68199157714844,0.15278775990009308,160000
0.40617507696151733,-67.18633270263672,-1.3164118528366089,3.3905258178710938,-11.462074279785156,2.343844175338745,-68.62507629394531,-14.054858207702637,-97.56070709228516,-68.39674377441406,0.16030509769916534,180000
0.4687880277633667,-66.10482788085938,-1.5865015983581543,1.296722412109375,-19.573875427246094,1.3352911472320557,-67.26828002929688,-14.06990909576416,-99.07807159423828,-67.5565185546875,0.16129472851753235,200000
0.4551366865634918,-67.60292053222656,-1.5378520488739014,1.7661972045898438,-21.60449981689453,1.2766681909561157,-68.61289978027344,-11.335529327392578,-99.1623306274414,-68.95451354980469,0.17247460782527924,220000
0.7957046031951904,-69.25138854980469,-1.9275178909301758,2.7208251953125,-16.780982971191406,1.406705617904663,-70.9517593383789,-23.444379806518555,-97.72476959228516,-70.87950897216797,0.17409197986125946,240000
0.3022376596927643,-68.920166015625,-1.2221788167953491,2.336719512939453,-12.239967346191406,1.1736640930175781,-69.98810577392578,-8.431758880615234,-98.75289154052734,-69.9903335571289,0.16612863540649414,260000
0.6890760064125061,-69.08728790283203,-1.5276117324829102,6.649681091308594,-24.187530517578125,1.3623594045639038,-70.57577514648438,-13.40058708190918,-98.4356689453125,-70.24163055419922,0.1521945744752884,280000
0.694873571395874,-67.97675323486328,-1.416756510734558,3.9361419677734375,-19.343643188476562,1.9594448804855347,-68.5516357421875,-3.67984938621521,-97.57646942138672,-69.24794006347656,0.1663726568222046,300000
0.4447687864303589,-69.49404907226562,-1.0615911483764648,4.6089630126953125,-12.883342742919922,0.9353421330451965,-70.47798919677734,-11.770540237426758,-100.56044006347656,-70.3934097290039,0.1666700690984726,320000
0.23419930040836334,-71.23880004882812,-1.1630522012710571,1.5011024475097656,-11.70810317993164,1.8491902351379395,-72.30278778076172,-20.523733139038086,-99.93701934814453,-72.02131652832031,0.20534947514533997,340000
0.5217395424842834,-70.46565246582031,-1.3861958980560303,3.3727340698242188,-22.396934509277344,1.5091230869293213,-71.74724578857422,-13.301465034484863,-101.88361358642578,-71.71851348876953,0.17966261506080627,360000
0.41437774896621704,-72.71566772460938,-1.3210899829864502,3.7537994384765625,-13.765716552734375,1.2248117923736572,-73.54508209228516,-14.811715126037598,-100.72142028808594,-73.82563781738281,0.1646134853363037,380000
0.42282405495643616,-73.40017700195312,-1.0842180252075195,2.881927490234375,-18.287315368652344,1.9510128498077393,-74.08221435546875,-4.7779412269592285,-100.93833923339844,-74.5777587890625,0.13846057653427124,400000
