critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
1.1672332286834717,-0.12334075570106506,1.14454984664917,-1.0605379343032837,1.5551016330718994,24.417930603027344,21.327251434326172,3.0906777381896973,1.5990078449249268,0
1.6701738834381104,-65.69048309326172,5.219810485839844,-67.34703826904297,0.5170935392379761,66.82246398925781,1.1290438175201416,65.69342041015625,0.2715405821800232,20000
3.347151517868042,-87.93730926513672,1.129496693611145,-90.60440826416016,0.5468140840530396,89.08348846435547,1.1730777025222778,87.91040802001953,0.2583219110965729,40000
4.3834075927734375,-95.81619262695312,-2.2644810676574707,-99.16981506347656,0.5025880932807922,96.91307830810547,1.1562864780426025,95.75679016113281,0.22272518277168274,60000
0.24436599016189575,-99.52445983886719,-64.08367156982422,-102.06395721435547,0.44395264983177185,100.55430603027344,0.9946579933166504,99.55964660644531,0.21199890971183777,80000
4.649989604949951,-99.37004089355469,-6.162966728210449,-102.59843444824219,0.4395822584629059,100.09697723388672,0.8442237377166748,99.25275421142578,0.18005141615867615,100000
1.7926080226898193,-98.17108154296875,1.3395047187805176,-102.01129913330078,0.45769697427749634,99.04975128173828,0.8296313881874084,98.22012329101562,0.19309309124946594,120000
0.7933840751647949,-98.41255187988281,-0.06530594825744629,-101.89226531982422,0.48547887802124023,99.30928802490234,0.9007174968719482,98.4085693359375,0.19894522428512573,140000
1.8220720291137695,-98.91261291503906,0.13660985231399536,-101.6976318359375,0.4336387515068054,99.87313079833984,0.8936384916305542,98.9794921875,0.18952935934066772,160000
0.6198184490203857,-99.3656005859375,-69.43749237060547,-101.51461029052734,0.47123247385025024,100.24383544921875,0.8817405700683594,99.36209869384766,0.19922727346420288,180000
0.24005191028118134,-99.01457214355469,-0.014301985502243042,-101.43618774414062,0.47501465678215027,99.96537017822266,0.9521946907043457,99.01317596435547,0.18629372119903564,200000
0.1816052496433258,-99.52677917480469,-77.55711364746094,-101.13505554199219,0.4520053565502167,100.30683135986328,0.7831388711929321,99.52368927001953,0.1830371618270874,220000
0.6355987787246704,-98.42333984375,0.5172921419143677,-100.84288024902344,0.4073299765586853,99.29163360595703,0.8703429102897644,98.4212875366211,0.18011988699436188,240000
0.34287887811660767,-98.09114837646484,0.4284805953502655,-100.95256042480469,0.43875235319137573,99.0277099609375,0.9087663292884827,98.11894226074219,0.20681330561637878,260000
2.4704883098602295,-98.44210815429688,-0.6188204288482666,-101.11376953125,0.4078616499900818,99.3290023803711,0.8947961926460266,98.4342041015625,0.17482870817184448,280000
0.2276691049337387,-99.15826416015625,-53.610836029052734,-100.81671905517578,0.37932801246643066,99.89383697509766,0.762848973274231,99.13098907470703,0.16890555620193481,300000
0.44739821553230286,-96.07395935058594,2.0441718101501465,-100.39456939697266,0.4587494730949402,96.90229034423828,0.8151932954788208,96.08709716796875,0.18148458003997803,320000
0.17519238591194153,-98.59841918945312,0.044075071811676025,-100.46492004394531,0.3915637135505676,99.28917694091797,0.7238616943359375,98.56531524658203,0.15908639132976532,340000
0.16382792592048645,-98.94132995605469,-11.95370101928711,-100.52562713623047,0.39162516593933105,99.81120300292969,0.8619357347488403,98.94926452636719,0.15848073363304138,360000
0.22079753875732422,-98.3896484375,0.5019168853759766,-100.58952331542969,0.45338374376296997,99.27989959716797,0.8635925650596619,98.41630554199219,0.1675471067428589,380000
0.8325623273849487,-97.65792846679688,0.8365272283554077,-100.33375549316406,0.3842039704322815,98.5572738647461,0.8592250943183899,97.69805145263672,0.1663772612810135,400000
0.13579413294792175,-98.32416534423828,0.35854873061180115,-100.2853012084961,0.41759592294692993,99.01945495605469,0.7248963713645935,98.2945556640625,0.17348283529281616,420000
1.130698323249817,-98.93714141845703,-84.52859497070312,-100.16752624511719,0.4463931620121002,99.6671371459961,0.7657111287117004,98.90142822265625,0.17380169034004211,440000
0.6907509565353394,-96.94586944580078,0.8027818202972412,-100.24193572998047,0.3976741135120392,97.75939178466797,0.7853484749794006,96.97404479980469,0.15312513709068298,460000
0.174138605594635,-97.83194732666016,1.2620294094085693,-100.17239379882812,0.41790956258773804,98.66036987304688,0.8223447203636169,97.83802795410156,0.15520401298999786,480000
2.108736991882324,-97.28578186035156,-1.884103536605835,-100.20454406738281,0.408052921295166,98.01663970947266,0.7019422650337219,97.314697265625,0.1613151580095291,500000
,,,,,,,,,500999
,,,,,,,,,501999
,,,,,,,,,502999
,,,,,,,,,503999
,,,,,,,,,504999
,,,,,,,,,505999
,,,,,,,,,506999
,,,,,,,,,507999
,,,,,,,,,508999
,,,,,,,,,509999
,,,,,,,,,510999
,,,,,,,,,511999
,,,,,,,,,512999
,,,,,,,,,513999
,,,,,,,,,514999
,,,,,,,,,515999
,,,,,,,,,516999
,,,,,,,,,517999
,,,,,,,,,518999
,,,,,,,,,519999
,,,,,,,,,520999
,,,,,,,,,521999
,,,,,,,,,522999
,,,,,,,,,523999
,,,,,,,,,524999
,,,,,,,,,525999
,,,,,,,,,526999
,,,,,,,,,527999
,,,,,,,,,528999
,,,,,,,,,529999
,,,,,,,,,530999
,,,,,,,,,531999
,,,,,,,,,532999
,,,,,,,,,533999
,,,,,,,,,534999
,,,,,,,,,535999
,,,,,,,,,536999
,,,,,,,,,537999
,,,,,,,,,538999
,,,,,,,,,539999
,,,,,,,,,540999
,,,,,,,,,541999
,,,,,,,,,542999
,,,,,,,,,543999
,,,,,,,,,544253
,,,,,,,,,545253
,,,,,,,,,546253
,,,,,,,,,547253
,,,,,,,,,548253
,,,,,,,,,549253
,,,,,,,,,550253
,,,,,,,,,551253
,,,,,,,,,552253
,,,,,,,,,553253
,,,,,,,,,554253
,,,,,,,,,555253
,,,,,,,,,556253
,,,,,,,,,557253
,,,,,,,,,558253
,,,,,,,,,559253
,,,,,,,,,560253
,,,,,,,,,561253
,,,,,,,,,562253
,,,,,,,,,563253
,,,,,,,,,564253
,,,,,,,,,565253
,,,,,,,,,566253
,,,,,,,,,567253
,,,,,,,,,568253
,,,,,,,,,569253
,,,,,,,,,570253
,,,,,,,,,571253
,,,,,,,,,572253
,,,,,,,,,573253
,,,,,,,,,574253
,,,,,,,,,575253
,,,,,,,,,576253
,,,,,,,,,577253
,,,,,,,,,578253
,,,,,,,,,579253
,,,,,,,,,580253
,,,,,,,,,581253
,,,,,,,,,582253
,,,,,,,,,583253
,,,,,,,,,584253
,,,,,,,,,585253
,,,,,,,,,586253
,,,,,,,,,587253
,,,,,,,,,587584
,,,,,,,,,588584
,,,,,,,,,589097
,,,,,,,,,590097
,,,,,,,,,591097
,,,,,,,,,592097
,,,,,,,,,593097
,,,,,,,,,594097
,,,,,,,,,595097
,,,,,,,,,596097
,,,,,,,,,597097
,,,,,,,,,598097
,,,,,,,,,599097
