critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
1.1672332286834717,-0.12334075570106506,1.14454984664917,-1.0605379343032837,1.5551016330718994,24.417795181274414,21.327251434326172,3.090542793273926,1.5990078449249268,0
1.767777442932129,-65.71708679199219,5.091855525970459,-67.3037109375,0.5170935392379761,66.85054779052734,1.1299163103103638,65.72063446044922,0.27155935764312744,20000
3.4313864707946777,-87.9825210571289,2.0103187561035156,-90.65950012207031,0.5468140840530396,89.1412582397461,1.1683697700500488,87.97288513183594,0.2588255703449249,40000
5.118824005126953,-95.82293701171875,-3.203289270401001,-99.1903076171875,0.5025880932807922,96.91973876953125,1.1586304903030396,95.7611083984375,0.2232499122619629,60000
0.3846389651298523,-99.33342742919922,-59.132171630859375,-101.8525619506836,0.44395264983177185,100.32711029052734,0.9888418316841125,99.33827209472656,0.21161705255508423,80000
3.5404083728790283,-99.30227661132812,-16.91916275024414,-102.51165771484375,0.46881747245788574,100.14199829101562,0.9264653921127319,99.21553039550781,0.18533596396446228,100000
0.8138212561607361,-98.35350036621094,4.3923020362854,-102.2319564819336,0.41954779624938965,99.35572814941406,0.955731213092804,98.39999389648438,0.19750523567199707,120000
0.49961167573928833,-98.16511535644531,0.6425338387489319,-101.79558563232422,0.4478289484977722,98.9732437133789,0.8541009426116943,98.119140625,0.19816266000270844,140000
3.2705881595611572,-98.96455383300781,-0.38022756576538086,-101.61123657226562,0.39670684933662415,99.8186264038086,0.8780009746551514,98.94062805175781,0.17605644464492798,160000
0.4578684866428375,-99.33963775634766,-64.84455871582031,-101.46183013916016,0.46733778715133667,100.30004119873047,0.9948225021362305,99.30522155761719,0.1937081217765808,180000
0.11798351258039474,-98.79947662353516,0.900749146938324,-101.17723083496094,0.4686717092990875,99.68243408203125,0.886633038520813,98.7957992553711,0.18882262706756592,200000
0.17412005364894867,-99.46350860595703,-83.95967864990234,-101.07482147216797,0.44494009017944336,100.34903717041016,0.8979887366294861,99.4510498046875,0.1853659749031067,220000
1.1566821336746216,-98.5095443725586,0.5228673219680786,-100.93509674072266,0.4194833040237427,99.49533081054688,0.9988877177238464,98.49644470214844,0.18007338047027588,240000
0.28567737340927124,-98.103759765625,-0.469361275434494,-100.874755859375,0.5200626850128174,98.92416381835938,0.8208807706832886,98.10328674316406,0.1875271052122116,260000
1.0284404754638672,-98.28456115722656,0.12934273481369019,-100.8069839477539,0.4532114267349243,99.10200500488281,0.8101889491081238,98.29181671142578,0.18608152866363525,280000
0.34319549798965454,-99.22016906738281,-72.24811553955078,-100.69324493408203,0.43612217903137207,99.92799377441406,0.7768848538398743,99.15110778808594,0.17290396988391876,300000
1.9434458017349243,-95.96556091308594,2.8844995498657227,-100.44123840332031,0.43724822998046875,96.90345001220703,0.9219722747802734,95.98147583007812,0.1797122359275818,320000
0.21948543190956116,-98.61466979980469,-0.1264735758304596,-100.5114517211914,0.3975728154182434,99.20999145507812,0.6269465684890747,98.58304595947266,0.16855722665786743,340000
0.10159836709499359,-98.8173828125,-6.916459083557129,-100.44465637207031,0.39048317074775696,99.6334228515625,0.8036972880363464,98.82972717285156,0.1506129801273346,360000
0.48816555738449097,-98.15406036376953,-0.5668972730636597,-100.35921478271484,0.3613779842853546,98.998046875,0.7949216365814209,98.203125,0.168414905667305,380000
0.3607400059700012,-97.5967025756836,0.8316075801849365,-100.36299133300781,0.4513523578643799,98.48062133789062,0.8642449378967285,97.61637878417969,0.17304080724716187,400000
0.33837002515792847,-98.25359344482422,0.20885029435157776,-100.30179595947266,0.4264845550060272,98.9489517211914,0.7611908316612244,98.18775939941406,0.16855467855930328,420000
0.3580457866191864,-98.78614807128906,-78.7256851196289,-100.2874984741211,0.438724547624588,99.48487091064453,0.7278631925582886,98.75701141357422,0.16569149494171143,440000
0.7022101283073425,-96.76390075683594,1.0007983446121216,-100.30626678466797,0.37892892956733704,97.5866470336914,0.7788646817207336,96.80778503417969,0.15060311555862427,460000
0.2193741500377655,-97.74418640136719,-0.09924542903900146,-100.23466491699219,0.3926706910133362,98.48075866699219,0.7573066353797913,97.72344970703125,0.17296773195266724,480000
1.660520315170288,-97.2335433959961,-4.124227046966553,-100.31103515625,0.37497246265411377,98.00664520263672,0.6618417501449585,97.34480285644531,0.14519841969013214,500000
,,,,,,,,,500999
,,,,,,,,,501317
,,,,,,,,,502317
,,,,,,,,,503317
,,,,,,,,,504317
,,,,,,,,,505317
,,,,,,,,,506317
,,,,,,,,,507317
,,,,,,,,,508317
,,,,,,,,,509317
,,,,,,,,,510317
,,,,,,,,,511317
,,,,,,,,,512317
,,,,,,,,,513317
,,,,,,,,,514317
,,,,,,,,,515317
,,,,,,,,,516317
,,,,,,,,,517317
,,,,,,,,,518317
,,,,,,,,,519317
,,,,,,,,,520317
,,,,,,,,,521317
,,,,,,,,,522317
,,,,,,,,,523317
,,,,,,,,,524317
,,,,,,,,,525317
,,,,,,,,,526317
,,,,,,,,,527317
,,,,,,,,,528317
,,,,,,,,,529317
,,,,,,,,,530317
,,,,,,,,,531317
,,,,,,,,,532317
,,,,,,,,,533317
,,,,,,,,,534317
,,,,,,,,,535317
,,,,,,,,,536317
,,,,,,,,,537317
,,,,,,,,,537981
,,,,,,,,,538981
,,,,,,,,,539981
,,,,,,,,,540981
,,,,,,,,,541981
,,,,,,,,,542981
,,,,,,,,,543981
,,,,,,,,,544981
,,,,,,,,,545981
,,,,,,,,,546981
,,,,,,,,,547981
,,,,,,,,,548981
,,,,,,,,,549981
,,,,,,,,,550981
,,,,,,,,,551981
,,,,,,,,,552981
,,,,,,,,,553981
,,,,,,,,,554981
,,,,,,,,,555981
,,,,,,,,,556981
,,,,,,,,,557981
,,,,,,,,,558981
,,,,,,,,,559981
,,,,,,,,,560981
,,,,,,,,,561981
,,,,,,,,,562981
,,,,,,,,,563981
,,,,,,,,,564981
,,,,,,,,,565981
,,,,,,,,,566981
,,,,,,,,,567981
,,,,,,,,,568981
,,,,,,,,,569981
,,,,,,,,,570981
,,,,,,,,,571981
,,,,,,,,,572981
,,,,,,,,,573981
,,,,,,,,,574981
,,,,,,,,,575981
,,,,,,,,,576981
,,,,,,,,,577981
,,,,,,,,,578981
,,,,,,,,,579981
,,,,,,,,,580981
,,,,,,,,,581981
,,,,,,,,,582981
,,,,,,,,,583981
,,,,,,,,,584981
,,,,,,,,,585981
,,,,,,,,,586981
,,,,,,,,,587981
,,,,,,,,,588981
,,,,,,,,,589981
,,,,,,,,,590981
,,,,,,,,,591981
,,,,,,,,,592981
,,,,,,,,,593981
,,,,,,,,,594981
,,,,,,,,,595981
,,,,,,,,,596981
,,,,,,,,,597981
,,,,,,,,,598981
,,,,,,,,,599981
